ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
55670,I agree,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work",Remote,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow,Udemy;Coursera,5,NA,"Developer, full-stack",NA,NA,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Italy,NA,NA,HTML/CSS;JavaScript;PHP;SQL,Dart;Kotlin;Rust,Firebase Realtime Database;MariaDB;Redis;SQLite,Dynamodb,Cloudflare;Firebase;Hetzner;OVH,NA,Laravel;Next.js;Nuxt.js;React;Vue.js;WordPress,Deno;Express;Fastify;NestJS;Node.js;Remix;Svelte;Symfony,NA,NA,Composer;Docker;npm;pnpm;Vite;Webpack;Yarn,Bun;Cargo;Chocolatey;Kubernetes,Visual Studio Code,Android Studio,Windows,Windows Subsystem for Linux (WSL),GitHub Discussions;Trello,NA,Discord;Google Meet;Skype;Zoom,NA,NA,NA,GitHub Copilot,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not at all",better explaining the coding problem,Yes,Indifferent,Speed up learning,Somewhat distrust,Debugging and getting help;Testing code,Learning about a codebase;Writing code;Documenting code,Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Documenting code,,,,Learning about a codebase;Writing code,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
55671,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos;Programming Games",Codecademy;Udemy,5,5,"Developer, back-end",20 to 99 employees,I have a great deal of influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,INR	Indian rupee,500000,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Objective-C;PHP;Visual Basic (.Net),Java;SQL,MariaDB;Microsoft Access;Microsoft SQL Server,Elasticsearch;MongoDB;MySQL;Oracle;Redis,Microsoft Azure,Google Cloud;Netlify,ASP.NET;ASP.NET CORE;Drupal;jQuery;Laravel,Angular;AngularJS;Node.js;React;WordPress,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Hadoop,React Native,NA,NA,Android Studio;Eclipse;Notepad++;Visual Studio,Notepad++;PhpStorm;Vim;Visual Studio Code,,Android;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",It's great experience to using AI with any platform like stackoverflow,Yes,Very favorable,Increase productivity,Highly trust,,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,,,Yes,Individual contributor,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,10+ times a week,10+ times a week,Less than 15 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,6058
55672,I agree,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Stack Overflow,NA,11,NA,"Developer, full-stack",NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Australia,NA,NA,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Go;Rust,Dynamodb;Microsoft SQL Server;MongoDB;MySQL,PostgreSQL,Amazon Web Services (AWS);Vercel,NA,Express;Next.js;Node.js;React,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;OpenGL;RabbitMQ;React Native,Flutter;TensorFlow;Torch/PyTorch,CMake;Docker;Gradle;Maven (build tool);npm;Pip;Unity 3D;Unreal Engine;Webpack;Yarn,Cargo;Kubernetes,CLion;IntelliJ IDEA;Notepad++;PyCharm;Rider;Sublime Text;WebStorm,NA,Windows;Windows Subsystem for Linux (WSL),,Clickup;Confluence;GitHub Discussions;Jira,NA,Discord;Microsoft Teams;Slack,NA,ChatGPT,Bing AI;Google Bard AI,GitHub Copilot;Tabnine,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",NA,"No, but I plan to soon",Favorable,NA,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
55673,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Stack Overflow,NA,25,20,Scientist,500 to 999 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with,Germany,EUR European Euro,65000,C++;Python;Rust;TypeScript,Python;Rust;TypeScript,NA,NA,NA,NA,React;Solid.js,Solid.js,NumPy;Opencv;Pandas;RabbitMQ,NumPy;Opencv;RabbitMQ,Cargo;CMake;MSVC;pnpm;Podman,Cargo;CMake;Nix;pnpm;Podman,Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL);Other (Please Specify):,Windows;Windows Subsystem for Linux (WSL);Other (Please Specify):,Markdown File,Markdown File,Mattermost;Microsoft Teams,Mattermost;Microsoft Teams,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Not sure/can't remember,NA,"No, not really",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,69608
55674,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial,Codecademy,8,4,"Developer, full-stack",10 to 19 employees,I have a great deal of influence,Investigate,Start a free trial;Ask a generative AI tool,Estonia,EUR European Euro,NA,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Cloudflare;Managed Hosting,Cloudflare;Managed Hosting,Django;FastAPI;Nuxt.js;Vue.js,Django;FastAPI;Nuxt.js;Vue.js,NA,NA,bandit;Docker;npm;Pip;Vite;Webpack;Yarn,bandit;Docker;npm;Pip;Vite;Webpack;Yarn,PyCharm,PyCharm,Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),YouTrack,YouTrack,Discord;Google Meet;Microsoft Teams;Skype;Whatsapp,Skype;Whatsapp,ChatGPT;Google Bard AI,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",NA,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,,Writing code,,,,,,Writing code,Yes,People manager,10,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,Over 120 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,NA
55675,I agree,I am a developer by profession,18-24 years old,"Student, full-time",NA,NA,Some college/university study without earning a degree,"Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,8,NA,NA,NA,NA,NA,NA,Germany,NA,NA,C++;HTML/CSS;JavaScript;Python,Dart;HTML/CSS;JavaScript;Python,MongoDB;MySQL,NA,Google Cloud,NA,Flask;jQuery,FastAPI;Flask;jQuery,CUDA;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;Flutter;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker,Docker,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,NA,NA,Discord;Whatsapp,Discord;Whatsapp,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,NA,"No, not at all",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
55676,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Student, full-time",NA,NA,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Interactive tutorial;Certification videos;Programming Games",Other,5,NA,NA,NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Other (please specify):;Research companies that have advertised on sites I visit;Research companies that have emailed me,Germany,NA,NA,Assembly;Bash/Shell (all shells);C;C++;Haskell;Java;Lisp;PowerShell;Prolog;Python;R;Rust;SQL;Swift;TypeScript;VBA,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Elixir;Erlang;Fortran;Go;Haskell;JavaScript;Julia;Lisp;MATLAB;OCaml;PowerShell;Prolog;Python;Rust;Zig,Microsoft SQL Server;MySQL;SQLite,NA,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;VMware,Amazon Web Services (AWS);Google Cloud;Hetzner;VMware,Django;Flask,Django;Flask,CUDA;Hadoop;Keras;NumPy;Opencv;OpenGL;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Cargo;CMake;Docker;GNU GCC;Kubernetes;LLVM's Clang;Make;MSBuild;MSVC;Ninja;Pip,Cargo;CMake;Docker;GNU GCC;Kubernetes;LLVM's Clang;Make;MSBuild;MSVC;Ninja;Pip;Unreal Engine,Atom;Code::Blocks;Emacs;IPython;Jupyter Notebook/JupyterLab;Nano;Neovim;Notepad++;Spyder;Visual Studio;Visual Studio Code,Atom;Code::Blocks;Emacs;IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Visual Studio;Visual Studio Code,Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Doxygen;Trello,Doxygen;Trello,Cisco Webex Teams;Discord;Jitsi;Microsoft Teams;Signal;Slack;Whatsapp;Zoom,Cisco Webex Teams;Discord;Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT;Google Bard AI;WolframAlpha,ChatGPT;Google Bard AI;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,Stack Overflow;Stack Exchange,A few times per month or weekly,No,NA,Neutral,AI can help but some times humans are needed,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,,Learning about a codebase;Writing code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring,,,Debugging and getting help;Deployment and monitoring,,,Learning about a codebase;Writing code,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
55677,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Written-based Online Courses;Stack Overflow,NA,5,2,"Developer, back-end","1,000 to 4,999 employees",I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Hungary,HUF	Hungarian forint,16000000,C#;JavaScript,C#,Dynamodb,Dynamodb,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Blazor;Lit,Angular;ASP.NET CORE;Blazor,NA,NA,Gradle;Unity 3D,Unity 3D,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Azure Devops;Jira,Azure Devops,Slack,Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",Find questions easier and trying to create a complex answer based on the answers on the site,"No, but I plan to soon",Indifferent,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,3,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-5 times a week,10+ times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,DevOps function;Microservices;Automated testing;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,46406
55678,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",On the job training;Other (please specify):,NA,NA,19,4,"Developer, full-stack",500 to 999 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with,Finland,EUR European Euro,37200,HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,C#;C++;F#;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery,Angular;ASP.NET;ASP.NET CORE;jQuery,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Qt,Composer;Godot;NuGet;Pip;Unity 3D;Unreal Engine;Yarn,Godot;NuGet;Pip;Podman;Unity 3D;Unreal Engine;Yarn,PhpStorm;Visual Studio;Visual Studio Code,Android Studio;Eclipse;Notepad++;PhpStorm;Visual Studio;Visual Studio Code,Windows,Android;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Confluence;Doxygen;Jira;Markdown File,Confluence;Jira;Markdown File,Slack,Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Offer real-time answers to common questions.,"No, but I plan to soon",Very favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,39837
55679,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Click to write Choice 20;Stack Overflow,Udemy,13,11,"Developer, front-end","5,000 to 9,999 employees",I have some influence,Investigate,Start a free trial,India,INR	Indian rupee,NA,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,NA,NA,Amazon Web Services (AWS),Amazon Web Services (AWS),React,React;Solid.js;Svelte,NA,NA,Docker;npm;Webpack,Docker;npm;Vite;Webpack,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Confluence;Jira,Confluence;Jira,Microsoft Teams;Zoom,Microsoft Teams;Zoom,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",NA,"No, but I plan to soon",Unsure,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
