ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
15022,I code primarily as a hobby,18-24 years old,"Student, full-time;Not employed, but looking for work",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Other (please specify):",Technical documentation;Blogs;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),4,NA,"Developer, full-stack",NA,NA,NA,NA,NA,India,NA,NA,C;C++;HTML/CSS;JavaScript;PHP;Python,C;C++;HTML/CSS;JavaScript;Python,C;C++;HTML/CSS;JavaScript;Python,MongoDB;MySQL;SQLite,MongoDB;SQLite,MongoDB;SQLite,NA,NA,NA,jQuery;Node.js;WordPress,Angular;AngularJS;Django;Flask;jQuery;Next.js;Node.js;React;Vue.js,jQuery;Node.js,GNU GCC;LLVM's Clang,Arduino;CMake;GNU GCC;LLVM's Clang,GNU GCC;LLVM's Clang,NumPy;Opencv;Pandas;TensorFlow,CUDA;Flutter;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,NumPy;Opencv;Pandas;TensorFlow,npm;Pip,Docker;npm;Pip,npm;Pip,Code::Blocks;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Android;Ubuntu;Windows,Ubuntu;Windows,Markdown File;Notion,Markdown File,Markdown File,Discord;Google Meet;Telegram;Whatsapp,Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp,Discord;Google Meet;Telegram;Whatsapp,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Gemini,Bing AI;ChatGPT,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code;Search for answers,,Testing code;Deployment and monitoring;Predictive analytics,Learning about a codebase;Writing code;Search for answers,Committing and reviewing code,Project planning;Documenting code;Debugging and getting help,,,Yes,Replacing jobs without options for new employment opportunities;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
15023,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Books;Written Tutorials;Stack Overflow;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Programming Games",API document(s) and/or SDK document(s);AI-powered search/dev tool (paid),20,11,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,145000,C#;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL,C#;F#;Haskell;HTML/CSS;PowerShell;Python,C#;F#;HTML/CSS;PowerShell;Python,Microsoft SQL Server,Microsoft SQL Server;MongoDB;RavenDB,Microsoft SQL Server,Google Cloud;Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET CORE;Blazor,ASP.NET CORE;Blazor;React,ASP.NET CORE;Blazor,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;RabbitMQ,.NET (5+) ;.NET MAUI;NumPy;RabbitMQ;TensorFlow;Torch/PyTorch,.NET (5+) ;NumPy;RabbitMQ,Chocolatey;MSBuild;npm;NuGet;Pip;Visual Studio Solution,Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Terraform;Unity 3D;Visual Studio Solution,Chocolatey;MSBuild;npm;NuGet;Pip;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Android;iPadOS;Windows,Windows,Jira,Azure Devops;Miro;Stack Overflow for Teams,NA,Cisco Webex Teams,Microsoft Teams,NA,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode,ChatGPT;Claude;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Generating content or synthetic data,Testing code;Committing and reviewing code;Predictive analytics;Search for answers,Project planning;Deployment and monitoring,,Learning about a codebase;Writing code;Documenting code,Debugging and getting help;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Lack of executive buy-in;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,11,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,1-2 times a week,3-5 times a week,6-10 times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt,Automated testing;Knowledge sharing community,Hybrid (on-prem and cloud),AI-powered search (paid),Healthcare,0,0,0,0,0,0,0,0,0,Appropriate in length,Easy,145000,7
15024,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,18,10,DevOps specialist,100 to 499 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features,"Iran, Islamic Republic of...",IRR	Iranian rial,11280000000,Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C;C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,BigQuery;Clickhouse;Elasticsearch;MariaDB;MySQL;Redis,BigQuery;Clickhouse;Elasticsearch;MariaDB;MySQL;Redis,BigQuery;Clickhouse;Elasticsearch;MariaDB;MySQL;Redis,Cloudflare;Hetzner;Vultr,Cloudflare;Hetzner;Vultr,Cloudflare;Hetzner;Vultr,Django;FastAPI;Flask;Node.js;Vue.js,Django;FastAPI;Flask;Node.js;Vue.js,Django;FastAPI;Flask;Node.js;Vue.js,Arduino;CMake;Cargo;Rasberry Pi,Arduino;CMake;Cargo;Rasberry Pi,Arduino;CMake;Cargo;Rasberry Pi,Apache Kafka;NumPy;Pandas;Ruff,Apache Kafka;NumPy;Pandas;Ruff,Apache Kafka;NumPy;Pandas;Ruff,Ansible;Bun;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Yarn,Ansible;Bun;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Yarn,Ansible;Bun;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform;Yarn,Nano;Visual Studio Code,Nano;Visual Studio Code,Nano;Visual Studio Code,Debian;iOS;MacOS;Ubuntu,Debian;iOS;MacOS;Ubuntu,Confluence;GitHub Discussions;Jira;Miro;Obsidian;Trello,Confluence;GitHub Discussions;Jira;Miro;Obsidian;Trello,Confluence;GitHub Discussions;Jira;Miro;Obsidian;Trello,Google Meet;Telegram,Google Meet;Telegram,Google Meet;Telegram,ChatGPT;GitHub Copilot;Google Gemini;Phind,ChatGPT;GitHub Copilot;Google Gemini;Phind,ChatGPT;GitHub Copilot;Google Gemini;Phind,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,,Project planning,Writing code,Search for answers;Generating content or synthetic data,Learning about a codebase;Documenting code;Debugging and getting help;Testing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,268013,NA
15025,"I used to be a developer by profession, but no longer am",25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Social Media;Video-based Online Courses;AI,API document(s) and/or SDK document(s),11,NA,"Senior Executive (C-Suite, VP, etc.)",NA,NA,NA,NA,NA,Ukraine,NA,NA,Java;JavaScript;Kotlin;SQL;TypeScript,NA,NA,MySQL;PostgreSQL;SQLite,NA,NA,Amazon Web Services (AWS);Digital Ocean,NA,NA,Angular;jQuery;Next.js;Nuxt.js;React;Spring Boot,NA,NA,NA,NA,NA,Capacitor;Flutter;React Native;Spring Framework,NA,NA,Docker;npm,NA,NA,Android Studio;IntelliJ IDEA;WebStorm;Xcode,NA,NA,MacOS;Ubuntu,,Confluence;Jira,NA,NA,Google Meet;Microsoft Teams;Slack,NA,NA,ChatGPT,NA,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Highly trust,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Deployment and monitoring;Search for answers,Learning about a codebase;Project planning;Generating content or synthetic data,Documenting code;Testing code;Committing and reviewing code;Predictive analytics,,,Writing code;Debugging and getting help;Deployment and monitoring;Search for answers,,,Yes,NA,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
15026,I am a developer by profession,45-54 years old,"Not employed, but looking for work",NA,Apples,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Coding Bootcamp",Technical documentation;Blogs;Stack Overflow;How-to videos,Traditional public search engine,37,24,NA,NA,NA,NA,NA,NA,United States of America,NA,NA,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,NA,NA,NA,AngularJS;ASP.NET;ASP.NET CORE;jQuery,AngularJS;ASP.NET CORE;jQuery,AngularJS;ASP.NET CORE;jQuery,NA,NA,NA,NA,NA,NA,MSBuild;NuGet;Visual Studio Solution,MSBuild;NuGet;Visual Studio Solution,MSBuild;NuGet;Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,,NA,NA,NA,NA,NA,NA,Bing AI;ChatGPT;Google Gemini,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, somewhat","No, but I plan to soon",Favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Circulating misinformation or disinformation;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
15027,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",NA,5,2,"Developer, front-end",I don’t know,I have little or no influence,NA,NA,NA,India,INR	Indian rupee,NA,Java;SQL,Java;SQL,Java;SQL,Oracle,Oracle,Oracle,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),NA,NA,NA,NA,NA,NA,NA,NA,NA,Maven (build tool),Maven (build tool),Maven (build tool),Eclipse,Eclipse,Eclipse,Windows,Windows,Jira,Jira,Jira,NA,NA,NA,NA,NA,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, but I plan to soon",Unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,2,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,NA,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,15-30 minutes a day,Number of software tools in use;Showing my contributions,NA,NA,Traditional public search engine,Healthcare,0,0,0,100,0,0,0,0,0,Too long,Easy,NA,9
15028,I am a developer by profession,18-24 years old,"Not employed, but looking for work",NA,Apples,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Video-based Online Courses;Written-based Online Courses;Certification videos;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,3,Less than 1 year,"Developer, back-end",NA,NA,NA,NA,NA,Ukraine,NA,NA,Java,Java,Java,MySQL;PostgreSQL,PostgreSQL,PostgreSQL,Microsoft Azure,NA,NA,Spring Boot,Spring Boot,Spring Boot,NA,NA,NA,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Ansible;Maven (build tool),Maven (build tool),Maven (build tool),IntelliJ IDEA,IntelliJ IDEA,IntelliJ IDEA,Windows,Windows,Trello,Trello,Trello,Discord;Telegram;Zoom,Discord;Telegram;Zoom,Discord;Telegram;Zoom,ChatGPT,ChatGPT,ChatGPT,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Indifferent,Increase productivity;Greater efficiency;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,,Learning about a codebase;Project planning;Writing code,,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
15029,I am learning to code,Under 18 years old,I prefer not to say,NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Other (please specify):,NA,NA,4,NA,Student,NA,NA,NA,NA,NA,Brazil,NA,NA,HTML/CSS;JavaScript;PHP;SQL,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Zig,HTML/CSS;JavaScript;PHP;SQL,NA,NA,NA,NA,NA,NA,jQuery;React,React,React,NA,NA,NA,NA,NA,NA,npm;Vite,npm;Vite,npm;Vite,Nano;Neovim;Notepad++;Vim;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Android;Ubuntu;Windows,Ubuntu;Windows,NA,NA,NA,NA,NA,NA,Bing AI,Bing AI,Bing AI,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,Neutral,Yes,Indifferent,Speed up learning;Improve accuracy in coding,Somewhat distrust,Very poor at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help,,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,Learning about a codebase;Writing code;Debugging and getting help,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
15030,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;School or academic work;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member","Technical documentation;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),5,3,Academic researcher,20 to 99 employees,I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;AI tool integration;Reputation for quality and excellence;Connected to an open source project,Bangladesh,BDT	Bangladeshi taka,1000000,Bash/Shell (all shells);C;Python,Bash/Shell (all shells);C;Python,Bash/Shell (all shells);C;Python,NA,NA,NA,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Netlify;PythonAnywhere,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Netlify;PythonAnywhere,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Netlify;PythonAnywhere,Flask,Flask,Flask,Arduino;PlatformIO;Rasberry Pi,Arduino;PlatformIO;Rasberry Pi,Arduino;PlatformIO;Rasberry Pi,CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;OpenCL;Opencv;OpenGL;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;Hugging Face Transformers;Keras;mlflow;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,Docker;Pip,Docker;Pip,Jupyter Notebook/JupyterLab;Qt Creator;Visual Studio Code,Jupyter Notebook/JupyterLab;Qt Creator;Visual Studio Code,Jupyter Notebook/JupyterLab;Qt Creator;Visual Studio Code,Ubuntu,Ubuntu,NA,NA,NA,Discord;Google Meet;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Skype;Slack;Telegram;Whatsapp;Zoom,ChatGPT;GitHub Copilot;Perplexity AI,ChatGPT;GitHub Copilot;Perplexity AI,ChatGPT;GitHub Copilot;Perplexity AI,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Daily or almost daily,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,8498,NA
15031,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Books;Stack Overflow;Social Media;How-to videos;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),25,25,"Developer, embedded applications or devices",2 to 9 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Connected to an open source project,Russian Federation,RUB	Russian ruble,4200000,Delphi;Python;SQL,Delphi;Python;SQL,Delphi;Python;SQL,Firebird;Microsoft SQL Server;PostgreSQL,Firebird;PostgreSQL,Firebird;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI,FastAPI,FastAPI,CMake;GNU GCC;Rasberry Pi,CMake;GNU GCC;Rasberry Pi,CMake;GNU GCC;Rasberry Pi,GTK;Qt,Apache Kafka;GTK;Keras;NumPy;Qt;RabbitMQ;TensorFlow;Torch/PyTorch,GTK;Qt,APT;Docker;Homebrew;Make;Ninja;Pip,APT;Composer;Docker;Homebrew;Kubernetes;Make;Ninja;Pip,APT;Docker;Homebrew;Make;Ninja;Pip,"BBEdit;Nano;Notepad++;PyCharm;Rad Studio (Delphi, C++ Builder)","BBEdit;Nano;Notepad++;PyCharm;Rad Studio (Delphi, C++ Builder)","BBEdit;Nano;Notepad++;PyCharm;Rad Studio (Delphi, C++ Builder)",Debian;MacOS;Windows,Debian;MacOS;Windows,NA,NA,NA,Telegram;Whatsapp,Telegram;Whatsapp,Telegram;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,A few times per month or weekly,Not sure/can't remember,NA,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,Neutral,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,47059,NA
