,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
55066,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer,Desktop developer,Desktop developer,2 - 5 years,3.5,,,3.86,C; C++; JavaScript; Python,C++; JavaScript; Python,Yes,,Employed full-time,Manufacturing,100-499 employees,10-14 people,2,Never,I love my job,Other,Notepad++; IPython / Jupyter; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 10,Yes,"1,001 - 5,000",Multiple times a day,I'm curious,On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,,,80%,Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Wars; Star Trek,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Neutral,Neutral,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Outdated technologies; Unspecific requirements; Limited resources,To give help to others; Beacause I love to learn
55380,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55413,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,3.86,C; Java,C; C++; Cassandra; Go; Java; Scala,Other (please specify),,Unemployed,,,,,,,,Vim; Eclipse; IPython / Jupyter,,5-10 hours per week,Dogs,Other Linux,Yes,"1,001 - 5,000",Once a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)",I am actively looking for a new job,Salary; Quality of colleagues; Building something that's innovative,Searching for a job that seems interesting,,Show me more live code; Be more flexible about interview scheduling; Introduce me to the team; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Disagree somewhat,Disagree completely,Agree completely,I don't care about this,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Unrealistic expectations; Corporate policies; Non-technical management,To get help for my job; To give help to others; To discover new job opportunities; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
55425,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,Rather not say,,3.86,Arduino / Raspberry Pi; AngularJS; iOS; JavaScript; Node.js; PHP; Python; SQL; WordPress,Arduino / Raspberry Pi; PHP; Python; WordPress,Yes,,Employed full-time,Internet,5-9 employees,1-4 people,2,Never,I'm somewhat satisfied with my job,Twitter,PhpStorm,Multiple times a day,10-20 hours per week,Cats,Mac OS X,Yes,101 - 500,Multiple times a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Tech stack; Company size; Quality of colleagues; Building something that's significant,Searching for a job that seems interesting,,Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work,,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Neutral,Agree completely,Agree completely,Agree completely,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Poor scheduling; Poor documentation,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
55451,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Ninja,Full-stack web developer,Full-stack web developer,11+ years,13.0,,,3.86,AngularJS; JavaScript; PHP; SQL; WordPress,"Cloud (AWS, GAE, Azure, etc.)",Yes,,I'm a student,,,,,,,,Vim,Multiple times a day,None,Dogs,Ubuntu,I don't know,"5,001 - 10,000",Once a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Equity; Ability to make or influence important decisions; Building something that's significant,,,,Star Wars,Disagree somewhat,,Disagree completely,Disagree completely,Disagree completely,Neutral,,Disagree somewhat,,Disagree completely,This is somewhat important,This is very important,I don't care about this,,This is very important,,I don't care about this,This is very important,I don't care about this,This is somewhat important,Inefficient development processes; Fragile code base; Non-technical management,To give help to others; Beacause I love to learn
55557,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer,Graphics programmer,Graphics programmer,11+ years,13.0,"$40,000 - $50,000",45000.0,3.86,C++; Java,C++; Java,Yes,,Employed part-time,Other (please specify),100-499 employees,10-14 people,1,Never,I'm somewhat dissatisfied with my job,Other,Eclipse; Visual Studio,A couple times a week,5-10 hours per week,Cats,Windows 8,Other (please specify),"10,001+",Multiple times a day,I'm curious,I'm self-taught; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Health insurance; Tech stack; Work/life balance; Office location; Company culture; Remote working option; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,,Show me more live code; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Trek,Neutral,Agree somewhat,Agree completely,Neutral,Agree completely,Disagree completely,Disagree somewhat,Agree completely,Agree completely,Disagree completely,This is very important,I don't care about this,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,,To give help to others; To demonstrate that I'm good at what I do; To communicate with others like me; Beacause I love to learn
55560,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer,Desktop developer,Desktop developer,6 - 10 years,8.0,"$20,000 - $30,000",25000.0,3.86,SQL,Java; JavaScript; Python,Yes,,Employed full-time,Software Products,10-19 employees,5-9 people,0,Never,I'm neither satisfied nor dissatisfied,Other,Notepad++,Once a day,1-2 hours per week,Cats,Windows 8,Yes,101 - 500,Multiple times a day,I'm curious,On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Office location; Flexible work hours,Finding an open job that I'm qualified for,,Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Disagree somewhat,Agree completely,Disagree completely,I don't care about this,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,Fragile code base; Poor documentation; Interacting with non-technical people,To get help for my job; Beacause I love to learn
55587,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,35-39,37.0,Male,Developer; Engineer,other,,11+ years,13.0,"$110,000 - $120,000",115000.0,3.86,Go; Java; Python; SQL,"Cloud (AWS, GAE, Azure, etc.); Go; Hadoop; Java; Scala; Spark; SQL",No,,Employed full-time,Consulting,"1,000-4,999 employees",10-14 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,A friend referred me,Eclipse; IntelliJ,A couple times a week,None,Cats,Mac OS X,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; Industry certification program; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement,Searching for a job that seems interesting,,Be more flexible about interview scheduling; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars; Star Trek,Neutral,Agree somewhat,Agree somewhat,Agree completely,Neutral,Disagree completely,Neutral,Agree somewhat,Agree completely,Disagree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,Poor team dynamics; Interacting with stupid people; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
55603,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Guru; Full Stack Overflow Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$40,000 - $50,000",45000.0,3.86,iOS; Objective-C; Swift,iOS; Objective-C; Swift,Yes,,Employed full-time,Education,20-99 employees,5-9 people,2,I rarely work remotely,I love my job,A friend referred me,Atom; Xcode,Multiple times a day,2-5 hours per week,Other (please specify),Mac OS X,Yes,"10,001+",Multiple times a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Remote working option; Flexible work hours,Other (please specify),,Show me more live code; Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,Unrealistic expectations; Corporate policies; Non-technical management,To get help for my job; To give help to others; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
55612,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Sr. Developer; Expert,Back-end web developer,Back-end web developer,11+ years,13.0,"$160,000 - $170,000",165000.0,3.86,Java; JavaScript; LAMP; MongoDB; PHP; SQL,Haskell; Java; JavaScript; LAMP; MongoDB; PHP; Scala; SQL,Other (please specify),,Self-employed,Web Services,1-4 employees,20+ people,2,Full-time remote,I love my job,Self-employed - I created my own job,Vim; IntelliJ,Multiple times a day,20+ hours per week,Cats,Mac OS X,Yes,"10,001+",Once a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Remote working option; Flexible work hours; Building something that's innovative,Finding time to search for a job,,Show me more live code; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Neutral,Agree completely,Agree completely,Disagree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is very important,This is very important,Fragile code base; Unrealistic expectations; Unspecific requirements,To get help for my job; To give help to others; whyso_onlinepresence
