,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
22676,House ads,United States,North America,North America,20-24,22.0,Female,Developer,Front-end web developer,Front-end web developer,Less than 1 year,0.5,"$60,000 - $70,000",65000.0,4.93,JavaScript,JavaScript; Node.js,No,4.0,Employed full-time,Media / Advertising,20-99 employees,10-14 people,2,Never,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime,A couple times a week,None,Cats,Windows 7,I don't know,I'm not sure,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Company culture; Building something that's significant,The interview process,0%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,,Disagree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Disagree completely,Neutral,Disagree somewhat,Disagree completely,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Poor documentation; Changing requirements,To get help for my job; Because I can't do my job without it; To receive help on my personal projects
22696,House ads,United States,North America,North America,30-34,32.0,Male,Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$110,000 - $120,000",115000.0,4.93,AngularJS; JavaScript; LAMP; PHP; SQL; SQL Server; WordPress,Android; AngularJS; C++; JavaScript; LAMP; MongoDB; Node.js; Perl; PHP; Python; SQL; SQL Server; WordPress,Yes,9.0,Freelance / Contractor,Internet,"1,000-4,999 employees",I am not on a team,"I am not on a ""team""",Full-time remote,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; Eclipse; Visual Studio,A couple times a week,5-10 hours per week,Dogs,Windows 7,I don't know,101 - 500,Multiple times a day,To build a specific product I have in mind,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Remote working option; Flexible work hours,The interview process,50%,Show me more live code; Fewer brainteasers,Star Trek,Agree somewhat,Agree somewhat,Agree completely,Disagree somewhat,Neutral,Agree somewhat,Disagree somewhat,Agree completely,Agree completely,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Unrealistic expectations; Interacting with stupid people; Trying to be nice,To get help for my job; To give help to others; To receive help on my personal projects
22744,House ads,United States,North America,North America,25-29,27.0,Male,Developer; Programmer; Sr. Developer; Manager; Rockstar; Full-stack Developer,Back-end web developer,Back-end web developer,11+ years,13.0,"$70,000 - $80,000",75000.0,4.93,"AngularJS; C++; Cassandra; CoffeeScript; Clojure; Cloud (AWS, GAE, Azure, etc.); Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Salesforce; SQL; WordPress",Clojure; Go; Hadoop; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; Redis; SQL,Yes,10.0,Employed full-time,Education,100-499 employees,5-9 people,1,Part-time remote,I love my job,Contacted by company (in-house recruiter),Emacs; Xcode,Multiple times a day,10-20 hours per week,Dogs,Mac OS X,Yes,"1,001 - 5,000",Once a week,I'm curious,I'm self-taught; Industry certification program,"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Office location; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Finding time to search for a job,60%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Agree somewhat,Agree somewhat,Agree completely,Neutral,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,Non-technical management; Unspecific requirements; Limited resources,To get help for my job; To give help to others; To demonstrate that I'm good at what I do; Beacause I love to learn
22750,House ads,United States,North America,North America,50-59,54.5,Male,Sr. Developer,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22751,House ads,United States,North America,North America,25-29,27.0,Female,Developer; Programmer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,4.93,LAMP; Node.js; PHP; WordPress,CoffeeScript; Python,No,7.0,Employed full-time,Web Services,20-99 employees,5-9 people,1,Part-time remote,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,Notepad++; PhpStorm,Multiple times a day,1-2 hours per week,Other (please specify),Windows 10,Other (please specify),2 - 100,Multiple times a day,I learn new technology when my job requires it,On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Quality of colleagues; Flexible work hours; Building something that's innovative,Taking time off work to interview,0%,Introduce me to the team; Fewer brainteasers,,Neutral,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Agree completely,Neutral,Neutral,Disagree somewhat,Disagree completely,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is very important,This is somewhat important,I don't care about this,Inefficient development processes; Unrealistic expectations; Poor documentation; Interacting with non-technical people; Trying to be nice,To get help for my job; Because I can't do my job without it; Beacause I love to learn
22755,House ads,United States,North America,North America,25-29,27.0,Female,Developer; Engineer; Programmer; Guru; Expert,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$70,000 - $80,000",75000.0,4.93,AngularJS; Java; JavaScript; MongoDB; Node.js,AngularJS; JavaScript; MongoDB; Node.js; Python,Yes,7.0,Employed full-time,Consumer Products,"10,000+ employees",10-14 people,6,Never,I love my job,A friend referred me,Emacs; Notepad++; Vim; Eclipse; Komodo; NetBeans,Multiple times a day,1-2 hours per week,Cats,Ubuntu,No,"10,001+",Multiple times a day,,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Company size; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Flexible work hours,The interview process,100%,Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree completely,Agree completely,Agree completely,Disagree completely,Agree completely,Disagree completely,Agree completely,Disagree completely,Disagree somewhat,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Poor documentation; Trying to be nice,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
22763,House ads,United States,North America,North America,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$90,000 - $100,000",95000.0,4.93,JavaScript; Node.js; PHP; Scala,C; Go,Yes,6.0,Employed full-time,Consulting,500-999 employees,1-4 people,1,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Vim,Multiple times a day,20+ hours per week,Dogs,Mac OS X,Yes,2 - 100,Once a month,I want to be a better developer,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Tech stack; Quality of colleagues; Building something that's significant,Searching for a job that seems interesting,100%,,Star Trek,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Disagree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Poor documentation; Changing requirements; Unspecific requirements,To get help for my job
22771,House ads,United States,North America,North America,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Guru; Expert,Back-end web developer,Back-end web developer,11+ years,13.0,"$130,000 - $140,000",135000.0,4.93,C++; Python; SQL,"C++; Cloud (AWS, GAE, Azure, etc.); Hadoop; MongoDB; Python; Redis; Spark",Yes,10.0,Freelance / Contractor,Telecommunications,I am not sure,5-9 people,2,Full-time remote,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Sublime; Vim,Multiple times a day,5-10 hours per week,Cats,Windows 7,Yes,"501 - 1,000",Multiple times a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)",I am actively looking for a new job,Salary; Health insurance; Tech stack; Work/life balance; Opportunity for advancement; Quality of colleagues; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,The interview process,80%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Trek,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,Fragile code base; Interacting with stupid people,To give help to others; To receive help on my personal projects; Beacause I love to learn
22789,House ads,United States,North America,North America,20-24,22.0,Male,Developer,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22813,House ads,United States,North America,North America,35-39,37.0,Male,Developer; Programmer; Rockstar,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.93,Objective-C; Swift,C#,Yes,7.0,Employed full-time,Software Products,5-9 employees,5-9 people,1,Full-time remote,I'm somewhat satisfied with my job,Contacted by external recruiter,Xcode,Multiple times a day,10-20 hours per week,Cats,Mac OS X,Yes,1,Multiple times a day,To build a specific product I have in mind,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Building something that's significant; Remote working option,Writing cover letters,100%,,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,Unrealistic expectations; Changing requirements; Unspecific requirements,To get help for my job; To discover new job opportunities; To receive help on my personal projects; Beacause I love to learn
22824,House ads,United States,North America,North America,30-34,32.0,Male,,Quality Assurance,Quality Assurance,6 - 10 years,8.0,"$70,000 - $80,000",75000.0,4.93,AngularJS; PHP; Ruby,AngularJS; JavaScript; Node.js; Python; Ruby; Scala,No,4.0,Employed full-time,Software Products,20-99 employees,10-14 people,6,I rarely work remotely,I love my job,Stack Overflow,Sublime; Vim; Android Studio; Xcode,A couple times a week,None,Dogs,Mac OS X,Yes,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Health insurance; Company size; Company financials; Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours,The interview process,10%,Show me more live code; Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Agree completely,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Unrealistic expectations; Poor documentation; Unspecific requirements,To get help for my job; Because I can't do my job without it; Beacause I love to learn
22831,House ads,United States,North America,North America,50-59,54.5,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$70,000 - $80,000",75000.0,4.93,C#; JavaScript; SQL; SQL Server,C; SQL; SQL Server,Yes,6.0,Employed full-time,Healthcare,"1,000-4,999 employees",1-4 people,0,I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Vim; Visual Studio,Multiple times a day,None,Cats,Windows 7,Yes,I don't have an account,Multiple times a day,I'm curious,B.A. in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Quality of colleagues; Company culture; Building something that's significant,Taking time off work to interview,0%,Show me more live code; Introduce me to the team,Star Trek,Neutral,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Unrealistic expectations,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
22837,House ads,United States,North America,North America,30-34,32.0,Male,Developer; Programmer; Sr. Developer; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$110,000 - $120,000",115000.0,4.93,AngularJS; C#; JavaScript; SQL; SQL Server; Windows Phone,AngularJS; C#; F#; Node.js; ReactJS,Yes,8.0,Employed full-time,Automotive,"10,000+ employees",5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Atom; Notepad++; Visual Studio; Visual Studio Code,Multiple times a day,2-5 hours per week,Dogs,Windows 8,Yes,1,Multiple times a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Quality of colleagues; Building something that's innovative,Taking time off work to interview,50%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,Neutral,Disagree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Corporate policies; Poor infrastructure or equipment,To get help for my job; To receive help on my personal projects; Beacause I love to learn
22851,House ads,United States,North America,North America,30-34,32.0,Male,Developer,Front-end web developer,Front-end web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000.0,4.93,JavaScript; Ruby,Arduino / Raspberry Pi; C; JavaScript; Ruby,Other (please specify),6.0,Employed full-time,Software Products,10-19 employees,5-9 people,0,I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Atom; Vim,Multiple times a day,1-2 hours per week,Cats,Mac OS X,I don't know,101 - 500,Multiple times a day,To pursue career goals,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Company culture; Building something that's significant,Searching for a job that seems interesting,50%,Offer remote interviews (e.g. via video conference); interview_coffee; Fewer brainteasers,Star Trek,Disagree completely,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Neutral,Agree completely,Agree completely,Agree somewhat,Agree somewhat,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Inefficient development processes; Fragile code base; Poor documentation; Outdated technologies,To get help for my job; Because I can't do my job without it; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
22864,House ads,United States,North America,North America,Prefer not to disclose,,Female,Developer; Ninja,Front-end web developer,Front-end web developer,2 - 5 years,3.5,,,4.93,JavaScript,AngularJS; JavaScript,No,10.0,Employed full-time,Web Services,100-499 employees,20+ people,I'm not sure,Part-time remote,I love my job,Contacted by external recruiter,Sublime; Vim,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,I don't know,I'm not sure,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Health insurance; Company culture; Building something that's significant; Remote working option; Building something that's innovative,The interview process,50%,,Star Wars,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Outdated technologies,Beacause I love to learn
22876,House ads,United States,North America,North America,20-24,22.0,Male,Developer; Engineer; Programmer; Hacker,System administrator,System administrator,6 - 10 years,8.0,Rather not say,,4.93,C++; iOS; Objective-C; Python; Swift,Python; Rust; Swift,Yes,7.0,Employed full-time,Software Products,100-499 employees,1-4 people,11+,Part-time remote,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Atom; Sublime; Xcode,Multiple times a day,10-20 hours per week,Cats,Mac OS X,Yes,I'm not sure,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Health insurance; Industry; Work/life balance; Opportunity for advancement; Office location; Company culture; Building something that's significant; Flexible work hours; Building something that's innovative,The interview process,70%,Be more flexible about interview scheduling,Star Trek,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree completely,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Poor documentation,To give help to others; To communicate with others like me; Beacause I love to learn
22897,House ads,United States,North America,North America,Prefer not to disclose,,Male,,System administrator,System administrator,2 - 5 years,3.5,"$80,000 - $90,000",85000.0,4.93,"Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); Python; Ruby; SQL",Android; C; Go; Java,No,3.0,Employed full-time,Web Services,"5,000-9,999 employees",5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Vim; IntelliJ,Multiple times a day,10-20 hours per week,Dogs,Other Linux,Yes,1,Once a week,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am actively looking for a new job,Opportunity for advancement,Other (please specify),,Introduce me to the team,Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,Neutral,Agree completely,Agree completely,Agree completely,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,Poor team dynamics; Fragile code base; Poor scheduling,Beacause I love to learn
22913,House ads,United States,North America,North America,30-34,32.0,Male,Developer,Desktop developer,Desktop developer,11+ years,13.0,"$90,000 - $100,000",95000.0,4.93,C; C++; Java; JavaScript; Ruby,C; C++; Ruby,Other (please specify),8.0,Other (please specify),Other (please specify),"10,000+ employees",5-9 people,3,I rarely work remotely,I love my job,Contacted by external recruiter,Atom; Notepad++,Multiple times a day,5-10 hours per week,Other (please specify),Ubuntu,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement,Other (please specify),80%,,Star Wars; Star Trek,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Corporate policies; Poor infrastructure or equipment,To get help for my job; To give help to others; whyso_onlinepresence; Beacause I love to learn
22938,House ads,United States,North America,North America,35-39,37.0,Male,Developer; Programmer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.93,iOS; Objective-C; Swift,C#; iOS; Objective-C; Swift,Other (please specify),7.0,Freelance / Contractor,Other (please specify),I am not part of a company,I am not on a team,0,Part-time remote,I'm somewhat dissatisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Xcode,A couple times a week,5-10 hours per week,Other (please specify),Mac OS X,I don't know,2 - 100,Once a week,To build a specific product I have in mind,I'm self-taught,I am actively looking for a new job,Salary; Building something that's significant; Remote working option; Flexible work hours,Other (please specify),80%,Show me more live code; Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,Disagree completely,Neutral,Neutral,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Inefficient development processes; Poor scheduling; Outdated technologies,To receive help on my personal projects
