India,20-24,Male,Huh?,1 - 2 years,Back-end web developer,Windows 8,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,"HTML, CSS",Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wordpress,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat dissatisfied with my job,I have no say in purchasing what I need or want at work,Never,Yes,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,Interesting companies rarely respond,,,,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,Great,Tolerate,Tolerate,Message is personalized,,,,,,,,Salary,,,,Office location,Job title,,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,,,,,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,Because the jobs ads are right there on Stack Overflow,,3,5-10 hours per week,Once a day,NotePad++,,Light,Git,,,,,,,,,,,Git,,,To give help to others,,,,,,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
India,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,Never,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,,Company reputation,,,,Very important,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,Taking time off work to interview,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,I don't have an account,Great,Hate,Hate,Hate,Message is personalized,,,,,,,,,,,Tech stack,Office location,,,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,0,None,Very rarely,NotePad++,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,,,To communicate with others like me,To receive help onæmy personal projects,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
India,20-24,Female,It depends,Less than 1 year,Back-end web developer,Windows 7,,,,,C,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,Android,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,,,,,"Less than $20,000",10000,Employed part-time,Web Services,I'm neither satisfied nor dissatisfied with my job,I have a discretionary budget at my disposal,Never,No,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,,,,,,Flexible work hours,Very important,,Finding an open job that I'm qualified for,,,,,The interview process,Rarely,I wish more recruiters contacted me!,Great,Hate,I don't have an account,Great,Tolerate,I don't have an account,Tolerate,Message is personalized,,,,,Salary information is provided,,,Salary,,,,Office location,,,,Tolerate,Tolerate,Great,Tolerate,Tolerate,Show meæmore live code,,,Introduce me to the boss,,,,,,,,,,,,1,None,Once a day,NotePad++,,Light,,,,,,,,,,I don't use source control,,CVS,,To get help for my job,To give help to others,,,,,,,,Sometimes,It feels good to help a programmer in need,,,,,,,
India,30-34,Male,Spaces,2 - 5 years,Back-end web developer,Ubuntu,"windows, mac",,,AngularJS,,,,,,,,,,,,,,,,,,LAMP,,MongoDB,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,AngularJS,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,Part-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,,,,Company reputation,,Remote working options,,Very important,Finding time to job search,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Tolerate,Great,Tolerate,Tolerate,Tolerate,Message is personalized,,,,Company culture is described,Salary information is provided,,,Salary,Benefits,Company name,Tech stack,Office location,Job title,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,No spam from recruiters,,Goodæselection of relevant jobs,,,,2,None,Multipleætimes a day,Coda,gedit,Dark,Git,,,CVS,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,Because I love to learn,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,,,,
India,25-29,Male,It depends,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,,,AngularJS,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,PHP,Python,,,,,,,Sharepoint,,SQL,SQL Server,,,Windows Phone,Wordpress,,No formal training; I'm self-taught,,,,,,,,,,,,,Employed full-time,Web Services,I love my job,I can recommend or request products,Part-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,Taking time off work to interview,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Hate,Great,Hate,Hate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,Stack Overflow Careers Company Page is linked,Salary,,,Tech stack,Office location,,,Details about the product or project I'd be working on,Hate,Great,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,,,,,,,0,10-20 hours per week,Multipleætimes a day,,Visual Studios,Light,,,SVN,,,,,,Legacy / Custom,,,SVN,,,,,,,,,,,,,,,,,,,
India,25-29,Male,Spaces,1 - 2 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I love my job,I can recommend or request products,Part-time Remote,Yes,I am not interested in other job opportunities,,,,,,,,Company stage,,,,,,Company culture,,Building something that matters,,,Very important,,,Searching for a job that seems interesting,,,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,I don't have an account,I don't have an account,Hate,Great,Tolerate,I don't have an account,Message is personalized,,,,Company culture is described,,Benefits / perks of the work environment are described,,Salary,Benefits,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,4,1-2 hours per week,Multipleætimes a day,Sublime Text,,I don't use an IDE,Git,Mercurial,,,,,,,,,,Git,,To get help for my job,,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,"I don't answer much (or at all), but I want to answer more"
India,20-24,Male,Tabs,Less than 1 year,Back-end web developer,Windows 7,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,Arduino / Raspberry Pi,AngularJS,C,C++,,,,,,,,,,,Hadoop,,,Java,,LAMP,,,,,Perl,PHP,Python,,,Ruby,,,,,,SQL,SQL Server,,,,Wordpress,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Employed full-time,Web Services,I love my job,I have a discretionary budget at my disposal,Full-time Remote,Yes,I am not interested in other job opportunities,,,Ability to make or influence important decisions,,,,,,,Opportunity for advancement,,,,,,,,Flexible work hours,Very important,,,,,Writing my CV and keeping it updated,Taking time off work to interview,The interview process,A few times a week,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,Tolerate,Tolerate,Tolerate,Message is personalized,,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,Office location,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Tolerate,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,Fewer brainteasers,,,,Goodæselection of relevant jobs,,,,0,20+ hours per week,Once a day,Sublime Text,,I don't use an IDE,Git,,,,,,,,,,,Git,,,To give help to others,Because I can't do my job without it,,,To communicate with others like me,To receive help onæmy personal projects,,,Sometimes,,My answer will help lots of people who have the same problem in the future,,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,
India,< 20,Male,It depends,2 - 5 years,Back-end web developer,Ubuntu,,Android,Arduino / Raspberry Pi,,,C++,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,Python,,,,,,,,,SQL,,,Visual Basic,,,,Android,Arduino / Raspberry Pi,AngularJS,,,C++11,,,,,,,,,Go,Hadoop,Haskell,,,,,,,Node.js,,,,,R,,Ruby,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,Web Services,I'm somewhat dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",Part-time Remote,No (I'm a student),I am actively looking for a new job,Salary,,,,,,,,,Opportunity for advancement,,,Quality of colleagues,,,,,,Neutral - I don't mind working in the office or remotely,,,,Interesting companies rarely respond,Writing my CV and keeping it updated,,The interview process,Never,I wish more recruiters contacted me!,Great,Great,Great,Great,Great,Great,Great,,,,Team I would be working with isædescribed,Company culture is described,Salary information is provided,,,,,Company name,,,,,,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,0,20+ hours per week,Multipleætimes a day,Vim,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,,To maintain an online presence,,To communicate with others like me,,Because I love to learn,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,I have no idea why I answer but I do it anyway,,
India,25-29,Male,Huh?,2 - 5 years,Back-end web developer,Windows 8,,,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Visual Basic,,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,On-the-job training,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat dissatisfied with my job,I can recommend or request products,Never,No,I am actively looking for a new job,,,,,,,,,Work/life balance,,,,,,,,,,Very important,,,,,Writing my CV and keeping it updated,Taking time off work to interview,,A few times a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,,,,,,,,,,,Company culture is described,Salary information is provided,,,Salary,,Company name,,Office location,Job title,,,,,,,,,Be more flexible about interview scheduling,,,,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,Because the jobs ads are right there on Stack Overflow,,2,2-5 hours per week,Once a month,NotePad++,,Light,,,SVN,,,,,,,,,SVN,,,To give help to others,Because I can't do my job without it,,,,,,,Always,It feels good to help a programmer in need,,,,,,"I don't answer much (or at all), and I don't want to",
India,20-24,Male,It depends,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,Android,,AngularJS,C,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,Wordpress,,No formal training; I'm self-taught,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I love my job,I can buy anything I want without asking anyone,I rarely work remote,Yes,I am open to new job opportunities,,,,,,Tech stack,,,,,,,Quality of colleagues,,,,,Flexible work hours,Somewhat important,Finding time to job search,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Hate,Tolerate,I don't have an account,Hate,Tolerate,Tolerate,Tolerate,Message is personalized,Code or projects I've worked on are referenced,Stack Overflow activity is mentioned,,,,,,Salary,Benefits,,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Great,Great,Tolerate,Tolerate,Great,Show meæmore live code,Be more flexible about interview scheduling,,,Introduce me to the team,,,,,,It's a jobs site specificallyæfor programmers,,,,,0,5-10 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,To maintain an online presence,To demonstrate that I'm good at what I do,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,I feel a sense of responsibility to the developer community,,,
India,20-24,Male,It depends,Less than 1 year,Back-end web developer,Mac OS X,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm neither satisfied nor dissatisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,20-24,Female,It depends,1 - 2 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,,Android,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,PHP,Python,,,,,,,,,,,,,,Wordpress,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I love my job,,I rarely work remote,Yes,I am open to new job opportunities,,,,,,,,,Work/life balance,Opportunity for advancement,,,,Company culture,,,,,,Finding time to job search,,,Interesting companies rarely respond,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Tolerate,Tolerate,Great,Tolerate,Tolerate,,,,,,,Benefits / perks of the work environment are described,Stack Overflow Careers Company Page is linked,,,,,,,,Details about the product or project I'd be working on,,,,,,,,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,,,Goodæselection of relevant jobs,,,,1,5-10 hours per week,Multipleætimes a day,NotePad++,,I don't use an IDE,,,SVN,,,,,,,,,SVN,,,,,,,,,Because I love to learn,,Always,It feels good to help a programmer in need,,,,,,,
India,20-24,Female,It depends,2 - 5 years,Back-end web developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Web Services,I love my job,Other,I rarely work remote,No,I am not interested in other job opportunities,,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Somewhat important,,,,,,Taking time off work to interview,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,,,Tolerate,,,,,,,,Company culture is described,Salary information is provided,,,,,Company name,,Office location,,,,,,,,,,Be more flexible about interview scheduling,,,,,Show me the space in which I will work,,,,,,,,,2,2-5 hours per week,Multipleætimes a day,NotePad++,,Light,,,,,,TFS,,,,,,TFS,,,,,,,,To receive help onæmy personal projects,,,Usually,,,,,,I have no idea why I answer but I do it anyway,,
India,20-24,Male,Spaces,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,,,Python,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,,R,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Web Services,I hate my job,I have no say in purchasing what I need or want at work,Never,No,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,Company culture,,,,Flexible work hours,Somewhat important,,,Searching for a job that seems interesting,Interesting companies rarely respond,,,,Rarely,"Please, make the recruiter spamŒæstop",Great,Great,Hate,Tolerate,Great,Hate,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,Benefits,,,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,,,4,10-20 hours per week,Multipleætimes a day,Sublime Text,,Dark,,,SVN,,,,,,,,,Git,,,To give help to others,,To maintain an online presence,To demonstrate that I'm good at what I do,To communicate with others like me,,Because I love to learn,,Usually,,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
India,25-29,Male,Tabs,2 - 5 years,Back-end web developer,Ubuntu,,,,,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,,,,,,Cassandra,,,,,,,Go,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Web Services,I hate my job,I have no say in purchasing what I need or want at work,Part-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,Job title,,,,Company reputation,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,,,,,Never,"Please, make the recruiter spamŒæstop",Great,,,Great,,,,,,,,,,,Stack Overflow Careers Company Page is linked,Salary,,,,,,,,,,,,Great,Show meæmore live code,,,,,,,,,,,,,,,1,20+ hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,,,,,,,,,Usually,It feels good to help a programmer in need,,,,,,,
India,25-29,Male,Spaces,2 - 5 years,Back-end web developer,Ubuntu,,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadoop,,,,JavaScript,LAMP,,,Node.js,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,Industry certification program,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Web Services,I'm neither satisfied nor dissatisfied with my job,I have a discretionary budget at my disposal,Part-time Remote,No,I am open to new job opportunities,Salary,,,,,,,,,,,,,Company culture,Company reputation,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,Taking time off work to interview,,A few times a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Great,Tolerate,Great,Great,Hate,Hate,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,,Office location,,,Details about the product or project I'd be working on,Great,Great,Great,Tolerate,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,No spam from recruiters,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,Because the jobs ads are right there on Stack Overflow,,5,20+ hours per week,Multipleætimes a day,,Zend Studio,Light,Git,,SVN,,,,,,,,,Git,,,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
India,25-29,Male,Spaces,2 - 5 years,Back-end web developer,Mac OS X,,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,Python,,Redis,Ruby,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,Haskell,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,Salary,,,,,Tech stack,,,,,,,Quality of colleagues,,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,The interview process,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Great,I don't have an account,Tolerate,Great,Great,Tolerate,Message is personalized,,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,Tech stack,,,,,Hate,Hate,Great,Great,Great,Show meæmore live code,,Offer remote interviews (ie. via video conference),,,,,,,,,,,,,3,1-2 hours per week,Multipleætimes a day,Vim,,I don't use an IDE,Git,,,,,,,,,,,Git,,To get help for my job,,Because I can't do my job without it,,,,,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
India,20-24,Male,Tabs,Less than 1 year,Back-end web developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,AngularJS,,,,,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Web Services,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Full-time Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,20-24,Male,Spaces,1 - 2 years,Back-end web developer,,Ubuntu,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,Python,,,,,,,,,,,,,,,,,,,,,C++11,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,Python,,,,,,Scala,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,Office location,,,,,,,Somewhat important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,30-34,Male,Spaces,2 - 5 years,Back-end web developer,Windows 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,Rather not say,Rather not say,Employed full-time,Web Services,I'm somewhat dissatisfied with my job,I have no say in purchasing what I need or want at work,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,Quality of colleagues,,,,,,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,25-29,Male,It depends,2 - 5 years,Back-end web developer,Mac OS X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,On-the-job training,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I'm somewhat dissatisfied with my job,I have no say in purchasing what I need or want at work,Never,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,Office location,Quality of colleagues,,,,,,Somewhat important,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,Tolerate,Great,,Tolerate,I don't have an account,,,,,Stack Overflow activity is mentioned,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,Company name,,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,,Offer remote interviews (ie. via video conference),Introduce me to the boss,Introduce me to the team,,,,,,,,,,,1,1-2 hours per week,Multipleætimes a day,NotePad++,,Dark,,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Sometimes,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
Indonesia,25-29,Male,Spaces,1 - 2 years,Back-end web developer,Ubuntu,,Android,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,Android,,AngularJS,,,,,,,Cordova,,,,,,Hadoop,,,,,,,,Node.js,Objective-C,,,Python,,,,,,,,,,,Swift,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"Less than $20,000",10000,Employed full-time,Web Services,I love my job,I have a discretionary budget at my disposal,Full-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,Office location,,,,Building something that matters,Remote working options,,Somewhat important,Finding time to job search,Finding an open job that I'm qualified for,,,,,,Never,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Tolerate,I don't have an account,Tolerate,I don't have an account,Tolerate,Tolerate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,Office location,,,Details about the product or project I'd be working on,Great,Great,Great,Great,Great,Show meæmore live code,Be more flexible about interview scheduling,,,Introduce me to the team,,,,,,,,,,,1,None,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
