,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
21033,Facebook,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Programmer; Sr. Developer; Ninja,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$50,000 - $60,000",55000.0,4.22,AngularJS; CoffeeScript; iOS; Objective-C; Ruby; Swift,CoffeeScript; iOS; Ruby; Swift,Other (please specify),9.0,Employed full-time,Web Services,20-99 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Atom; TextMate; Xcode,Multiple times a day,2-5 hours per week,Other (please specify),Mac OS X,Yes,101 - 500,Multiple times a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Work/life balance; Remote working option; Flexible work hours,Taking time off work to interview,30%,Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,Inefficient development processes; Poor scheduling; Unrealistic expectations,To get help for my job; To give help to others; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do; To receive help on my personal projects; Beacause I love to learn
21040,Facebook,United Kingdom,Northern Europe,Western Europe,50-59,54.5,Male,,other,,2 - 5 years,3.5,Rather not say,,4.22,,,Yes,3.0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21078,Facebook,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Hacker,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$130,000 - $140,000",135000.0,4.22,C#; Python,Arduino / Raspberry Pi; C#; Python; Swift,Yes,7.0,Freelance / Contractor,Finance / Banking,I am not part of a company,20+ people,3,Never,I'm neither satisfied nor dissatisfied,Contacted by external recruiter,PyCharm; Visual Studio; Visual Studio Code; Xamarin,Multiple times a day,20+ hours per week,Cats,Mac OS X,Yes,"501 - 1,000",Once a day,To keep my skills up to date,I'm self-taught; On-the-job training; Industry certification program,"I'm not actively looking, but I am open to new opportunities",Salary; Quality of colleagues; Building something that's significant; Flexible work hours; Building something that's innovative,Writing my CV and keeping it updated,90%,Show me more live code; Introduce me to the boss; Fewer brainteasers,,Disagree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,I don't care about this,This is very important,Inefficient development processes; Fragile code base; Corporate policies; Outdated technologies; Interacting with stupid people; Limited resources,To get help for my job; To give help to others; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
21113,Facebook,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Developer; Engineer; Programmer,Student,Student,1 - 2 years,1.5,"Less than $10,000",5000.0,4.22,Android; C++; C#; Java; JavaScript; PHP; SQL,Android; C++; C#; Dart; Haskell; Java; JavaScript; Node.js; PHP; ReactJS; Spark; SQL,No,8.0,I'm a student,,,,,,,,Notepad++; Android Studio; Eclipse; IntelliJ; NetBeans; Visual Studio,A couple times a week,5-10 hours per week,Dogs,,I don't know,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Opportunity for advancement; Building something that's significant,Writing cover letters,50%,Show me more live code,Star Wars,Neutral,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Neutral,Disagree somewhat,Agree completely,Neutral,Disagree completely,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,This is very important,Unrealistic expectations; Interacting with non-technical people; Interacting with stupid people,Beacause I love to learn
21127,Facebook,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Programmer; Ninja,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21129,Facebook,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Developer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,4.22,Android; Go; iOS; JavaScript; Python; SQL; Swift,Android; Arduino / Raspberry Pi; AngularJS; C++; C#; Go; Haskell; iOS; Java; JavaScript; Node.js; Objective-C; Python; Redis; Ruby; Scala; SQL; SQL Server; Swift; WordPress,Yes,4.0,I'm a student,,,,,,,,Sublime; Android Studio; PyCharm; Xcode,A couple times a week,2-5 hours per week,Cats,Mac OS X,I don't know,2 - 100,Once a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Remote working option; Flexible work hours,,0%,,Star Wars,Neutral,Agree somewhat,Agree completely,Neutral,Disagree completely,Disagree completely,Neutral,Agree somewhat,Disagree completely,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is very important,Poor team dynamics; Poor scheduling; Poor documentation; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Changing requirements; Unspecific requirements; Trying to be nice,To get help for my job; To receive help on my personal projects
21187,Facebook,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Full-stack Developer,Full-stack web developer,Full-stack web developer,Less than 1 year,0.5,"$70,000 - $80,000",75000.0,4.22,MongoDB; Ruby; SQL,Go; JavaScript; ReactJS; Redis; Ruby; Scala,Yes,2.0,Employed full-time,Finance / Banking,100-499 employees,5-9 people,1,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Atom; Vim,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,I don't have an account,Once a day,I'm curious,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp"")",,Ability to make or influence important decisions; Opportunity for advancement; Building something that's innovative,Writing cover letters,60%,Show me more live code; Introduce me to the boss,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Agree somewhat,Neutral,Agree somewhat,Disagree somewhat,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Fragile code base,To get help for my job; To give help to others; Because I can't do my job without it; Beacause I love to learn
21215,Facebook,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Expert,Front-end web developer,Front-end web developer,6 - 10 years,8.0,"$90,000 - $100,000",95000.0,4.22,AngularJS; JavaScript,AngularJS; JavaScript; ReactJS; Scala,No,9.0,Employed full-time,Software Products,20-99 employees,1-4 people,0,I rarely work remotely,I love my job,Career fair,Atom; Vim; IntelliJ,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,I don't have an account,Once a week,To build a specific product I have in mind,,I am actively looking for a new job,Salary; Ability to make or influence important decisions; Tech stack; Work/life balance; Quality of colleagues; Flexible work hours,Taking time off work to interview,100%,Be more flexible about interview scheduling,,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Agree somewhat,Disagree completely,Disagree completely,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,I don't care about this,Limited resources,To get help for my job; To receive help on my personal projects; Beacause I love to learn
21235,Facebook,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,,Student,Student,1 - 2 years,1.5,,,4.22,Arduino / Raspberry Pi; Java; Python; SQL,Arduino / Raspberry Pi; C++; Java; Python,Yes,4.0,I'm a student,,,,,,,,Atom; Sublime,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",10-20 hours per week,Dogs,Windows 10,I don't know,I don't have an account,Once a day,I'm curious,Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Office location; Quality of colleagues; Company culture; Building something that's innovative,Writing my CV and keeping it updated,30%,Introduce me to the team; Show me the space in which I will work,Star Wars,Neutral,Neutral,Agree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Neutral,Agree somewhat,Neutral,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Non-technical management; Interacting with non-technical people; Interacting with stupid people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
21326,Facebook,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Hacker,,,6 - 10 years,8.0,Other (please specify),,4.22,"AngularJS; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Matlab; MongoDB; Node.js; Python; Redis","AngularJS; C; C++; Cloud (AWS, GAE, Azure, etc.); Swift",Yes,10.0,Self-employed,Media / Advertising,1-4 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Sublime; Vim; Visual Studio; Visual Studio Code,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Company culture; Remote working option,The interview process,50%,Show me more live code; interview_coffee; Fewer brainteasers,Star Trek,Neutral,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Non-technical management; Interacting with stupid people; Limited resources,To get help for my job
